nama_kegiatan,skpd,harga_kontrak,nomor,nama_pekerjaan,metode,npwp,nama_perusahaan,alamat,hps,penawaran,setelah_negosiasi,alamat_pemenang,npwp
Belanja Cetak,Badan Pemberdayaan Perempuan dan Keluarga Berencana,94468000,027/007-PPBJ-KHIBA-BPPKB/2014,BTS-87 Pasangan TPT S. Cikapundung II Kec. Regol,Pengadaan Langsung,01.455.876.1-423.000,CV.KARYA SETIA,JL.SUKASIRNA NO. 178 BANDUNG,180226779,179849100,179745810,CV.KARYA SETIA JL.SUKASIRNA NO. 178 BANDUNG,01.455.876.1-423.000
Belanja Bahan Bakar Minyak/Gas dan Pelumas,Badan Pemberdayaan Perempuan dan Keluarga Berencana,150584100,027/007-PPBJ-BBM3-BPPKB/2014,BTS-85 Pasangan TPT / Pengerukan Sedimen Sal. Cipanya. III Bandung Kulon,Pengadaan Langsung,02.203.659.4-429.000,CV. SATRIA NUGRAHA,Jl. Jatiwangi VIII No. 1,126425511,126008980,125898980,CV. SATRIA NUGRAHA Jl. Jatiwangi VIII No. 1,02.203.659.4-429.000
Belanja Cetak,Badan Pemberdayaan Perempuan dan Keluarga Berencana,59383500,027/007-PPBJ-LAP-BPPKB/2014,Pengadaan pakaian dinas hari-hari tertentu,Pengadaan Langsung,31.618.180.9-429.000,CV.PUTRA MARDHIKA,jl.venus barat v no.9,84414000,83268900,81840000,CV.PUTRA MARDHIKA jl.venus barat v no.9,31.618.180.9-429.000
Belanja Cetak,Badan Pemberdayaan Perempuan dan Keluarga Berencana,65010000,027/007-PPBJ-KRR-BPPKB/2014,Perjalanan Dinas Luar Daerah,Pengadaan Langsung,01.935.736.7-424.000,PT.JASA PESTA WISATA,Jl. Lengkong Kecil nO. 4 Rt. 005 Rw. 001 Kel. Paledang Kec. Lengkong Bandung,78674354,78669910,78547700,PT.JASA PESTA WISATA Jl. Lengkong Kecil nO. 4 Rt. 005 Rw. 001 Kel. Paledang Kec. Lengkong Bandung,01.935.736.7-424.000
Belanja Makanan dan Minuman Kegiatan,Badan Pemberdayaan Perempuan dan Keluarga Berencana,175000000,027/007-PPBJ-MM-BPPKB/2014,Belanja Dekorasi Pameran TEI 2014,Pengadaan Langsung,07.231.695.3-424.000,PD. PELAJAR PEJUANG,Jl. Pelajar Pejuang 45 No. 86 A,65175000,64075000,63800000,PD. PELAJAR PEJUANG Jl. Pelajar Pejuang 45 No. 86 A,07.231.695.3-424.000
Belanja Cetak,Badan Pemberdayaan Perempuan dan Keluarga Berencana,75845000,027/007-PPBJ-PKB-BPPKB/2014,Kegiatan Outbound,Pengadaan Langsung,31.478.320.0-423.000,CV. BONBIT,jl. Kebon Bibit Utara I No. 169/58,109901000,109334500,108768000,CV. BONBIT jl. Kebon Bibit Utara I No. 169/58,31.478.320.0-423.000
Belanja Bahan Bakar Minyak/Gas dan Pelumas,Badan Pemberdayaan Perempuan dan Keluarga Berencana,147395700,027/007-PPBJ-BBM4-BPPKB/2014,Belanja mebeler RKB Tahun 2014 SMPN 39,Pengadaan Langsung,02.081.190.7-422.000,CV. CAHAYA PUTRA MANDIRI,JL. KAPUR NO. 6 B BOJONGSARI BANDUNG,87785500,87445600,86020000,CV. CAHAYA PUTRA MANDIRI JL. KAPUR NO. 6 B BOJONGSARI BANDUNG,02.081.190.7-422.000
Belanja Jasa Konsultasi Pengembangan,Badan Pemberdayaan Perempuan dan Keluarga Berencana,39325000,027/007-PPBJ-AP-BPPKB/2014,Belanja Modal Pengadaan Komputer Note Book & Belanja Modal Pengadaan Komputer /PC,Pengadaan Langsung,02.241.644.0-423.000,CV.SENA CITRA UTAMA,"jl.cikutra 157,citra green garden kav.27",46035000,99110000,97900000,"CV.SENA CITRA UTAMA jl.cikutra 157,citra green garden kav.27",02.241.644.0-423.000
Belanja Kursus-kursus singkat/pelatihan (Out Bound),Badan Pemberdayaan Perempuan dan Keluarga Berencana,124091000,027/007-PPBJ-OBT-BPPKB/2014,Belanja Jasa Cleaning Service,Pengadaan Langsung,02.446.373.9-429.000,CV. MSP INTAN,Jl. Saluyu B-XVI No.475,71925425,71746950,71390000,CV. MSP INTAN Jl. Saluyu B-XVI No.475,02.446.373.9-429.000
Belanja Modal pengadaan komputer note book,Badan Pemberdayaan Perempuan dan Keluarga Berencana,174570000,027/007-PPBJ-KM-BPPKB/2014,Belanja Pakaian Dinas Harian (PDH) dan Sepatu & Belanja Pakaian Batik Tradisional & Belanja Pakaian Adat Daerah & Belanja Pakaian Sipil Resmi (PSR) & Belanja Pakaian Sipil Lengkap (PSL) & Belanja Pakaian Sipil Harian (PSH),Pengadaan Langsung,31.199.048.2-429.000,CV HARTINI JAYA SANTOSA,jalan cicalengka 6 nomor 12,71670500,71384500,71126000,CV HARTINI JAYA SANTOSA jalan cicalengka 6 nomor 12,31.199.048.2-429.000
Belanja Bahan Percontohan (Sample),Badan Pengelola Lingkungan Hidup,99256300,027/024.3-PBJ.BPLH,Belanja Jasa Pembuatan/Penayangan Iklan Sinetron,Pengadaan Langsung,31.172.620.2-422.000,CV. CITRA WULAN,Komp. Bumi Asri Gempol Sari Blok B No. 163,187165000,185515000,182765000,CV. CITRA WULAN Komp. Bumi Asri Gempol Sari Blok B No. 163,31.172.620.2-422.000
Jasa Tenaga Pengamanan,Badan Pengelola Lingkungan Hidup,118800000,027/001.8.4-PBJ.BPLH,Pemeliharaan PJU Perumahan Cinambo Indah,Pengadaan Langsung,01.611.943.0-424.000,CV.MITRA LESTARI,Jl. Bumi Kiara Raya No.6,98705698,98484060,98411310,CV.MITRA LESTARI Jl. Bumi Kiara Raya No.6,01.611.943.0-424.000
Jasa tenaga Sopir,Badan Pengelola Lingkungan Hidup,69294500,027/001.8.5-PBJ.BPLH,Peningkatan Jl.Dr.Sutomo,Pengadaan Langsung,01.983.683.2-422.000,CV. PURNAMA,Jln. Dirgantara VII No. 10 Gempolsari Bandung,135591580,134360040,133895600,CV. PURNAMA Jln. Dirgantara VII No. 10 Gempolsari Bandung,01.983.683.2-422.000
Belanja Peralatan Kebersihan dan Bahan Pembersih,Badan Pengelola Lingkungan Hidup,198132000,027/037.5-PBJ.BPLH,Peningkatan Jl. Cinambo Indah,Pengadaan Langsung,01.240.312.7-428.000,CV. HENDAYA KARYA,Jl. Maleer Utara No. 10,199234235,198806680,198479870,CV. HENDAYA KARYA Jl. Maleer Utara No. 10,01.240.312.7-428.000
Belanja Pakaian Kerja Lapangan,Badan Pengelola Lingkungan Hidup,98890000,027/135-PBJ.BPLH,Rehabilitasi Jl. Cijaura Hilir dan Tangan-tangan Jembatan S. Cicadas,Pengadaan Langsung,01.708.943.4-424.000,CV. TEKAD MULYA,Jl. Sritunggal No. 31 Bandung,170961409,170328000,169978930,CV. TEKAD MULYA Jl. Sritunggal No. 31 Bandung,01.708.943.4-424.000
Belanja Pakaian Adat Daerah,Badan Pengelola Lingkungan Hidup,59700300,027/255.7-PBJ.BPLH,"Pembangunan PJL Gg. Ibu Aisyah (Mulai Jl. Luna IV s/d Mesjid) , Gg. Nyi Empok (Jl. Cibadak s/d Jl. Pagarsih)",Pengadaan Langsung,02.084.005.4-424.000,CV. CIHAMPANG,Jl. Gitar Dalam No. 5 BAndung,147281256,146750500,146311750,CV. CIHAMPANG Jl. Gitar Dalam No. 5 BAndung,02.084.005.4-424.000
Belanja Jasa Penyelenggara Acara,Badan Pengelola Lingkungan Hidup,81611200,027/359-PBJ.BPLH,BTS-34 Pasangan TPT Sal. Cisitu Kec. Regol,Pengadaan Langsung,01.970.135.8-429.000,ILHAM SAKTI.CV,Jl. Jatiwangi 8 No 28 Antapani,95182808,94846670,94747670,ILHAM SAKTI.CV Jl. Jatiwangi 8 No 28 Antapani,01.970.135.8-429.000
Belanja Bahan Bakar Minyak/Gas dan Pelumas,Badan Pengelola Lingkungan Hidup,80787500,027/001.9.14-PBJ.BPLH,Pembuatan Saluran dan Trotoar Jl.Tamansari,Pengadaan Langsung,02.084.236.5-429.000,CV. TUGU PRIMA,jl margacinta no 8,198351416,197239980,196866340,CV. TUGU PRIMA jl margacinta no 8,02.084.236.5-429.000
Jasa Cleaning Service,Badan Pengelola Lingkungan Hidup,145381500,027/002.9-PBJ.BPLH,BTS-78 Pasangan TPT Sal. Giritilas. II Kec. Arcamanik,Pengadaan Langsung,31.154.808.5-429.000,CV. KURNIA,Jl. Indrajaya 1 Blok B 34,166627860,166237500,166171500,CV. KURNIA Jl. Indrajaya 1 Blok B 34,31.154.808.5-429.000
Belanja Bahan Percontohan (Sample),Badan Pengelola Lingkungan Hidup,81349950,027/328.3-PBJ.BPLH,"Pengerukan Saluran, Tali air dan Gorong-gorong Jl.Pasir Koja",Pengadaan Langsung,01.612.185.7-424.000,CV. LAMAJANG JAYA,Jl. Sriwijaya IV No. 13 Bandung,72070953,71557300,71441800,CV. LAMAJANG JAYA Jl. Sriwijaya IV No. 13 Bandung,01.612.185.7-424.000
Belanja Bahan/Bibit Tanaman,Badan Pengelola Lingkungan Hidup,94292000,027/343.2-PBJ.BPLH,BTS-75 Pasangan TPT Sal. Ciateul. II Kec. Buahbatu,Pengadaan Langsung,01.482.761.2-428.000,CV. SEDERHANA,Jl.Gegerkalong Tengah No.71A/173B,133940331,133605870,133512370,CV. SEDERHANA Jl.Gegerkalong Tengah No.71A/173B,01.482.761.2-428.000
"Belanja Sewa Sound System, Panggung, Lampu Sorot, Partisi dan Peralatan Upacara & Belanja Sewa Tenda dan Kelengkapannya & Belanja Sewa Meja Kursi",Badan Pengelola Lingkungan Hidup,59015000,027/356.1-PBJ.BPLH,BDS.45. Pasangan TPT Sal. Babakan Cibiru I Kel. Pasir Biru Kec. Cibiru,Pengadaan Langsung,01.118.362.1-422.000,CV. MANUNGGAL UTAMA,Jl. Bojongloa No. 179/92,188054691,187331880,187045880,CV. MANUNGGAL UTAMA Jl. Bojongloa No. 179/92,01.118.362.1-422.000
Renovasi Toilet,Badan Pengelola Lingkungan Hidup,188950090,027/486-PBJ.BPLH,"Pengerukan Saluran, Tali air dan Gorong-gorong Jl.M.Toha, Jl.Pungkur",Pengadaan Langsung,01.784.579.3-441.000,PT. ANDHIKA KARYA UTAMA MANDIRI,Jalan Tulip Mekar No. 6 Bandung,141409729,140498630,140268730,PT. ANDHIKA KARYA UTAMA MANDIRI Jalan Tulip Mekar No. 6 Bandung,01.784.579.3-441.000
Pembangunan Gedung Arsip,Badan Pengelola Lingkungan Hidup,196065930,027/508-PBJ.BPLH,"Pengerukan Saluran, tali-tali air, gorong-gorong jl.Dr. Djundjunan, Jl. Pasteur",Pengadaan Langsung,01.644.036.4-424.000,CV. PANCANITI,Jl. Jakarta No. 20-22 Kav.3,161676044,160474610,160355260,CV. PANCANITI Jl. Jakarta No. 20-22 Kav.3,01.644.036.4-424.000
Belanja Bahan Percontohan (Sample),Badan Pengelola Lingkungan Hidup,99434500,027/451.2-PBJ.BPLH,PembuatanMarka Jalur Sepeda Segmen 1 Gedung Sate-UNPAD-STHB-UNIKOM-Simpang Dago,Pengadaan Langsung,01.645.085.0-421.000,CV INSUN MEDAL LESTARI,Jl. Jend. Sudirman No. 151 (SMPN 2),184473663,183759460,183373690,CV INSUN MEDAL LESTARI Jl. Jend. Sudirman No. 151 (SMPN 2),01.645.085.0-421.000
Belanja bahan bakar minyak/gas dan pelumas,Badan Pengelola Lingkungan Hidup,77626250,027/092.4-PBJ.BPLH,Pembuatan Saluran dan Trotoar Jl.Lamping,Pengadaan Langsung,02.203.512.5-429.000,CV.MEKAR JAYA,jl.kadipaten 6 no.2 antapani,198201666,197054540,196680230,CV.MEKAR JAYA jl.kadipaten 6 no.2 antapani,02.203.512.5-429.000
Pembuatan Sumur Resapan,Badan Pengelola Lingkungan Hidup,107192360,027/412.9-PBJ.BPLH,Belanja Bimbingan Teknis,Pengadaan Langsung,01.935.736.7-424.000,PT.JASA PESTA WISATA,Jl. Lengkong Kecil No. 4 Rt. 005 Rw. 001 Kel. Paledang Kec. Lengkong Bandung,139337000,137879500,137005000,PT.JASA PESTA WISATA Jl. Lengkong Kecil No. 4 Rt. 005 Rw. 001 Kel. Paledang Kec. Lengkong Bandung,01.935.736.7-424.000
Belanja Bahan Bibit Tanaman,Badan Pengelola Lingkungan Hidup,51810000,027/541-PBJ.BPLH,Belanja Pemeliharaan Bangunan,Pengadaan Langsung,01.131.069.5-423.000,CV.CIWAREGU,jln.ciwaregu no.39,89945783,89223650,88853800,CV.CIWAREGU jln.ciwaregu no.39,01.131.069.5-423.000
Belanja Jasa Penyelenggaraan Acara Cross Country Adiwiyata,Badan Pengelola Lingkungan Hidup,98690020,027/335.3-PBJ.BPLH,Belanja Cetak,Pengadaan Langsung,02.629.732.5-424.000,CV. ARYA WIRA MEDIATAMA,Jl. K.H. Ahmad Dahlan no. 52,167613600,165963600,161478900,CV. ARYA WIRA MEDIATAMA Jl. K.H. Ahmad Dahlan no. 52,02.629.732.5-424.000
Belanja Dekorasi/Penataan Taman Halaman Kantor,Badan Pengelola Lingkungan Hidup,149015370,027/607-PBJ.BPLH,Rehabilitasi Gedung Puskesmas Cipamokolan,Pengadaan Langsung,01.455.876.1-423.000,CV.KARYA SETIA,JL.SUKASIRNA NO. 178 BANDUNG,179871098,179348590,179348410,CV.KARYA SETIA JL.SUKASIRNA NO. 178 BANDUNG,01.455.876.1-423.000
Belanja Peralatan Kebersihan dan Bahan Pembersih,Badan Pengelola Lingkungan Hidup,99066000,027/542-PBJ.BPLH,Belanja Pakaian Olahraga,Pengadaan Langsung,01.588.591.6-424.000,CV. PAMEKARAN,jl. babakan priangan no.132/203B,51315000,51074650,51035050,CV. PAMEKARAN jl. babakan priangan no.132/203B,01.588.591.6-424.000
Belanja Bahan Baku Bangunan,Badan Pengelola Lingkungan Hidup,197879000,027/512.3-PBJ.BPLH,Belanja Modal Pengadaan Speaker Aktif SMP Negeri 28 & Belanja Modal Pengadaan Mesin Pompa Air SMP Negeri 28 & Belanja Modal Pengadaan Lemari Kaca SMP Negeri 28 & Belanja Modal Pengadaan Daftar Hadir Barcode SMP Negeri 28 & Belanja Modal Pengadaan Mesin Genset SMP Negeri 28,Pengadaan Langsung,01.280.474.6-429.000,CV. MAMUR SARI PERDANA,Jl. Cisaranten Kulon No.43,67276067,66467500,65917500,CV. MAMUR SARI PERDANA Jl. Cisaranten Kulon No.43,01.280.474.6-429.000
Belanja Penataan TPS,Badan Pengelola Lingkungan Hidup,143921880,027/512.2-PBJ.BPLH,Belanja modal pengadaan buku permintaan kurikulum 2013 SMA Negeri 27,Pengadaan Langsung,02.789.253.8-429.000,CV. KIREI NA YUKI,Jl. Tirtawening No. 132 Bandung 40614,170306000,149874700,144760500,CV. KIREI NA YUKI Jl. Tirtawening No. 132 Bandung 40614,02.789.253.8-429.000
Belanja bahan bakar minyak/gas dan pelumas,Badan Pengelola Lingkungan Hidup,80787500,027/435.3-PBJ.BPLH,Peningkatan jalan lingkungan (Type 2 Jalan lingkungan+Drainase) Paket 21 Jl. Kebon Gedang XI Rt03/08 Kel. Maleer Kec. Batununggal,Pengadaan Langsung,02.204.169.3-429.000,CV. MULYA MANDIRI,JL. KALIJATI II NO. 42 KEL. ANTAPANI KEC. CICADAS,149413869,148452090,146424520,CV. MULYA MANDIRI JL. KALIJATI II NO. 42 KEL. ANTAPANI KEC. CICADAS,02.204.169.3-429.000
Belanja Modal Alat Sensor Panas Udara,Badan Pengelola Lingkungan Hidup,94050000,027/551.3-PBJ.BPLH,Belanja Modal Pengadaan Komputer Note Book,Pengadaan Langsung,01.240.346.5-423.000,CV. FERDA LESTARI,Jln. Utama No.24 Padasuka Bandung,94050000,93060000,90090000,CV. FERDA LESTARI Jln. Utama No.24 Padasuka Bandung,01.240.346.5-423.000
Belanja Peralatan Kebersihan dan Bahan Pembersih,Badan Pengelola Lingkungan Hidup,128956300,027/700.5-PBJ.BPLH,Belanja Modal Pengadaan Kontruksi Rumah Dinas,Pengadaan Langsung,21.078.433.6-429.000,CV. HILMAN PUTRA,JL. Subang IV No. 8 Antapani,157054417,157051000,157036500,CV. HILMAN PUTRA JL. Subang IV No. 8 Antapani,21.078.433.6-429.000
Belanja Jasa Penyelenggaraan Acara Roadshow Sekolah Adiwiyata Tahun 2014,Badan Pengelola Lingkungan Hidup,99000000,027/507.8-PBJ.BPLH,Belanja Modal Peralatan dan Perlengkapan Kantor,Pengadaan Langsung,02.779.116.9-423.000,CV. WIDYADANA,Jl. Sekemirung Kidul A78 RT.01 RW.10 Cigadung,117702200,117260000,117034500,CV. WIDYADANA Jl. Sekemirung Kidul A78 RT.01 RW.10 Cigadung,02.779.116.9-423.000
Belanja Jasa Pembuatan Bahan Ajar,Badan Pengelola Lingkungan Hidup,74470000,027/583.7-PBJ.BPLH,"Belanja Modal Pengadaan Komputer (Smartphone), Belanja Modal Pengadaan Printer, Belanja Modal Pengadaan Monitor, Belanja Modal Pengadaan Kursi Tamu, Belanja Modal Pengadaan Kulkas",Pengadaan Langsung,02.242.005.3-423.000,CV. MANGGALA CIPTA SARANA,JL. Suniaraja Gg. Apandi RT.04/04 No. 78/11A Bandung,58850000,58707000,58619000,CV. MANGGALA CIPTA SARANA JL. Suniaraja Gg. Apandi RT.04/04 No. 78/11A Bandung,02.242.005.3-423.000
Belanja Modal Pengadaan Printer & Belanja Modal Pengadaan UPS/ Stabilizer & Belanja Modal Pengadaan Kelengkapan Komputer,Badan Pengelola Lingkungan Hidup,63965000,027/781.3-PBJ.BPLH,Rehabilitasi Sedang/Berat Gedung Kantor Kecamatan Cibeunying Kidul.,Pengadaan Langsung,01.119.333.1-424.000,CV. ARIA KEMUNING,Jalan Saledri No.31 Bandung 40263,158921969,158430470,157671520,CV. ARIA KEMUNING Jalan Saledri No.31 Bandung 40263,01.119.333.1-424.000
Belanja Jasa Penyelenggaraan Acara,Badan Pengelola Lingkungan Hidup,188544400,027/416.7-PBJ.BPLH,Belanja Modal Pengadaan Smartphone,Pengadaan Langsung,31.230.336.5-424.000,CV. WALIA MITRA BANDUNG,Jl. A.H. Nasution Blk No. 866 (Gg. Hasan No. 50/210) Kel. Cicaheum Kec. Kiaracondong Bandung,63965000,61655000,61655000,CV. WALIA MITRA BANDUNG Jl. A.H. Nasution Blk No. 866 (Gg. Hasan No. 50/210) Kel. Cicaheum Kec. Kiaracondong Bandung,31.230.336.5-424.000
Belanja Jasa Penyelenggaraan Acara,Badan Pengelola Lingkungan Hidup,198167060,027/086.5-PBJ.BPLH,Belanja Modal Pengadaan Konstruksi/Bangunan Taman,Pengadaan Langsung,21.151.994.7-421.000,CV. IVANA KARYA,Jl. Tipar Barat No.35 RT. 002 RW. 002 laksanamekar padalarang,196999589,195844000,195030000,CV. IVANA KARYA Jl. Tipar Barat No.35 RT. 002 RW. 002 laksanamekar padalarang,21.151.994.7-421.000
Belanja bahan bakar minyak/gas dan pelumas,Badan Pengelola Lingkungan Hidup,77275000,027/722.6-PBJ.BPLH,Rehab Aula Kelurahan Pasirwangi,Pengadaan Langsung,31.708.728.6-424.000,CV. ALMAGADA,Jl. Srikania No. 2,171247076,170482320,169758340,CV. ALMAGADA Jl. Srikania No. 2,31.708.728.6-424.000
Belanja Modal Pengadaan Proyektor & Belanja Modal Pengadaan Mic Conference dan Sound System,Badan Pengelola Lingkungan Hidup,83710000,027/833.4-PBJ.BPLH,Belanja modal pengadaan infokus & Belanja modal pengadaan meja rapat & Belanja modal pengadaan meja kerja & Belanja modal pengadaan komputer note book/tab,Pengadaan Langsung,02.778.581.5-423.000,CV. TIWA MEKAR,jl. sukasirna II No. 135/139A Bandung,53212500,51750050,51474500,CV. TIWA MEKAR jl. sukasirna II No. 135/139A Bandung,02.778.581.5-423.000
Belanja Bahan Percontohan (Sample),Badan Pengelola Lingkungan Hidup,98815200,027/769.3-PBJ.BPLH,Pengadaan SIM RS,Pengadaan Langsung,01.000.013.1-051.000,"PT TELEKOMUNIKASI INDONESIA, TBK.-",GKP Telkom Lt. 6 Jalan Japati Nomor 1,170977400,170940000,170940000,"PT TELEKOMUNIKASI INDONESIA, TBK.- GKP Telkom Lt. 6 Jalan Japati Nomor 1",01.000.013.1-051.000
Belanja Cetak,Badan Pengelola Lingkungan Hidup,75350000,027/787.10-PBJ.BPLH,Belanja Modal Pengadaan Instalasi Listrik,Pengadaan Langsung,01.240.723.5-424.000,CV. DARMA KENCANA,jl. haremis II no. 15A,156591050,156431000,156387000,CV. DARMA KENCANA jl. haremis II no. 15A,01.240.723.5-424.000
Perbaikan Atap Gedung,Badan Pengelola Lingkungan Hidup,53066420,027/884.8-PBJ.BPLH,Belanja Modal Pengadaan Gedung VCT dan CST,Pengadaan Langsung,01.767.654.5-423.000,CV. BANGUN KURNIA SAJATI,Jl. Terusan Sukup Baru No. 22 Ujung Berung,193854763,192865200,191508900,CV. BANGUN KURNIA SAJATI Jl. Terusan Sukup Baru No. 22 Ujung Berung,01.767.654.5-423.000
"Perbaikan Pintu, Jendela dan Kunci-Kunci",Badan Pengelola Lingkungan Hidup,91159940,027/884.10-PBJ.BPLH,Belanja Makanan dan Minuman Kegiatan,Pengadaan Langsung,01.767.686.7-423.000,CV. NENDEN CO,Jalan Utama No.24 Padasuka,50400000,46080000,43200000,CV. NENDEN CO Jalan Utama No.24 Padasuka,01.767.686.7-423.000
Pengecatan Gedung & Perbaikan Lisplang Talang,Badan Pengelola Lingkungan Hidup,75598050,027/885.1-PBJ.BPLH,Belanja Cetak,Pengadaan Langsung,02.606.626.6-423.000,CV. SEKAR ALAM,jl. dago barat - biru no. 359,53895600,52965000,52800000,CV. SEKAR ALAM jl. dago barat - biru no. 359,02.606.626.6-423.000
Belanja Modal Pengadaan Telepon,Badan Pengelola Lingkungan Hidup,157762000,027/886.9-PBJ.BPLH,Belanja Makanan dan Minuman Kegiatan,Pengadaan Langsung,31.025.412.5-429.000,CV. DEBORAH,Jl. Uranus Tengah V No.103,129289500,128017800,127170000,CV. DEBORAH Jl. Uranus Tengah V No.103,31.025.412.5-429.000
Belanja Modal Pengadaan Kamera,Badan Pengelola Lingkungan Hidup,113971000,027/833.3-PBJ.BPLH,Belanja Makan dan Minum Kegiatan,Pengadaan Langsung,66.751.046.5-424.000,CV. PANDAWA MANDIRI JAYA,Jl. Pangarang Bawah IV No. 78,58212000,57834000,57456000,CV. PANDAWA MANDIRI JAYA Jl. Pangarang Bawah IV No. 78,66.751.046.5-424.000
Renovasi Toilet,Badan Pengelola Lingkungan Hidup,188950090,027/855.7-PBJ.BPLH,Rehabilitasi gedung sayap barat pendopo,Pengadaan Langsung,02.366.542.5-422.000,CV. SHARFINA,JL. CIBADUYUT RAYA NO. 90 RT/RW. 01/04 CIBADUYUT BOJONGLOA KIDUL BANDUNG,99727327,99628320,99309320,CV. SHARFINA JL. CIBADUYUT RAYA NO. 90 RT/RW. 01/04 CIBADUYUT BOJONGLOA KIDUL BANDUNG,02.366.542.5-422.000
Penataan Ruang Bangunan,Badan Pengelola Lingkungan Hidup,148027980,027/855.5-PBJ.BPLH,Pemeliharaan Taman di Jalan Nyland,Pengadaan Langsung,02.445.961.2-429.000,CV. NURAYA PRIMA,Jl. Tulip Mekar IV No. 5 Rt.08 Rw.02,99825301,99608660,99300330,CV. NURAYA PRIMA Jl. Tulip Mekar IV No. 5 Rt.08 Rw.02,02.445.961.2-429.000
Renovasi Parkir Motor,Badan Pengelola Lingkungan Hidup,68068000,027/880.2-PBJ.BPLH,Perbaikan/Renovasi Ruang Kerja Sekda,Pengadaan Langsung,01.210.809.8-445.000,CV NURSARI,JL MANGGAHANG I NO.69 BALEENDAH,169793530,169464510,169219720,CV NURSARI JL MANGGAHANG I NO.69 BALEENDAH,01.210.809.8-445.000
Belanja Rapat Koordinasi dan Konsultasi,Dinas Pelayanan Pajak,123200000,027/07/01.18/15.02/PBJ/2014,Belanja Pakaian Kerja Lapangan,Pengadaan Langsung,31.603.404.0-423.000,CV DHANIAZ JAYA,Jl. Sukaluyu I No.39 RT.02 RW.06 Bandung,55341000,54395000,53922000,CV DHANIAZ JAYA Jl. Sukaluyu I No.39 RT.02 RW.06 Bandung,31.603.404.0-423.000
Belanja Cetak,Dinas Pelayanan Pajak,52250000,027/07/01.01/06.01/PBJ/2014,Belanja Alat Tulis Kantor,Pengadaan Langsung,02.084.185.4-424.000,CV.AGUNG PUTRA PRATAMA,Jl. Moh Ramdan No. 21,37542780,35470050,35470050,CV.AGUNG PUTRA PRATAMA Jl. Moh Ramdan No. 21,02.084.185.4-424.000
Belanja ATK,Dinas Pelayanan Pajak,97460000,027/07/17.47/01.01/PBJ/2014,Belanja Modal Pengadaan Komputer Note Book,Pengadaan Langsung,66.181.290.9-422.000,CV. RAF INOVASI,Jl. Mekar Sari No. 10,171762800,169165700,168300000,CV. RAF INOVASI Jl. Mekar Sari No. 10,66.181.290.9-422.000
Belanja Bahan Bakar Minyak,Dinas Pelayanan Pajak,315473250,027/07/01.06/05.03/PBJ/2014,Belanja Modal Pengadaan Komputer Note Book,Pengadaan Langsung,66.181.290.9-422.000,CV. RAF INOVASI,Jl. Mekar Sari No. 10,71695800,70474800,70202000,CV. RAF INOVASI Jl. Mekar Sari No. 10,66.181.290.9-422.000
Belanja Pakaian Batik Tradisional,Dinas Pelayanan Pajak,143385000,027/07/03.02/14.03/PBJ/2014,Belanja Bahan Bakar Minyak/Gas dan Pelumas,Pengadaan Langsung,21.106.607.1-423.000,CV. MULYA,Jl. LL. R. E. Martadinata No. 79,108066000,108066000,108066000,CV. MULYA Jl. LL. R. E. Martadinata No. 79,21.106.607.1-423.000
Belanja kawat/faksimili/internet (Internet dedicated access),Dinas Pelayanan Pajak,119680000,027/07/17.23/03.06/PBJ/2014,Belanja Makanan dan Minuman Kegiatan,Pengadaan Langsung,02.789.813.9-429.000,CV. CIKAL PERKASA,Jl. Galaxy III No.57 Kec. Buahbatu,185000000,184000000,175000000,CV. CIKAL PERKASA Jl. Galaxy III No.57 Kec. Buahbatu,02.789.813.9-429.000
Belanja Cetak Buku Panduan Kerja Disyanjak Kota Bandung (Desain Eklusif),Dinas Pelayanan Pajak,181500000,027/07/17.19/06.01/PBJ/2014,Pengecatan Gedung & Perbaikan Lisplang Talang,Pengadaan Langsung,01.131.069.5-423.000,CV.CIWAREGU,jln.ciwaregu no.39,76093056,75873050,75598050,CV.CIWAREGU jln.ciwaregu no.39,01.131.069.5-423.000
Belanja Pakaian Adat Daerah,Dinas Pelayanan Pajak,145205500,027/07/03.02/14.02/PBJ/2014,Belanja Cetak,Pengadaan Langsung,01.426.991.4-423.000,CV. JAYA GIRI,Jl Sukarasa No.281/142 C Cicadas,69437500,67375000,66000000,CV. JAYA GIRI Jl Sukarasa No.281/142 C Cicadas,01.426.991.4-423.000
Belanja Modal Pengadaan Peralatan Jaringan Komputer Pajak Daerah,Dinas Pelayanan Pajak,183045500,027/07/01.13/12.10/PBJ/2014,Belanja Sosialisasi,Pengadaan Langsung,31.320.847.2-428.000,CV. GARUDA PERSADA,Jl. Raya Cimindi No.274,144000000,142200000,140400000,CV. GARUDA PERSADA Jl. Raya Cimindi No.274,31.320.847.2-428.000
Belanja Makanan dan Minuman Kegiatan (Kegiatan Sosialisasi Pajak Daerah Makanan dan Minuman Jasa Boga/Catering dan Bakery),Dinas Pelayanan Pajak,94000000,027/07/17.19/11.04/PBJ/2014,Belanja kawat/faksimili/internet (Collocations Server Dedicated/DRC),Pengadaan Langsung,02.749.867.4-422.000,PT. CITRA JELAJAH INFORMATIKA,Jl. Bougenville VIII No. 14 Gempolsari,73920000,73040000,72600000,PT. CITRA JELAJAH INFORMATIKA Jl. Bougenville VIII No. 14 Gempolsari,02.749.867.4-422.000
