NO,NAMA PERUSAHAAN,KELURAHAN,ALAMAT,JENIS USAHA,JML KARYAWAN ,THN BERDIRI 
197,PT.Situ Bolon Lestari,,Jl.Raya Cibeureum 44 Rt. 01/02,Perdagangan,jasa,3,2006
198,PT.Cipta Adiyasa,,Jl.Katalina III/4 RT.03/01,General computer,3,2013
199,CV.Anugrah Sadang ,,Jl.Raya Cimindi 86 Rt. 01/05,Perdagangan,jasa,3,2013
200,,,Bbk.Cibeureum 88 Rt. 02/01,Industri tepung agar-agar,5,1989
201,GTS,,Bbk.Cibeureum 88 Rt. 02/01,Perdagangan,jasa,10,2005
202,Ekman,,Bojong Koneng Rt.05/06,Produksi tas,3,2000
203,Pd. Bintang Baru,,Jl.Cimindi RT.06/05,Gudang hasil bumi,3,2000
204,Pt Angkutan Jaya,,Jl.Cimindi RT.06/05,Jasa Angkutan barang,30,2003
205,,,Jl.Cimindi RT.06/05,Gudang kain,2,2005
206,PD. Sartika,,Jl. Paledang 346 RT.05/02,mebelair,5,1972
207,Jaya Usaha Lestari,,Jl. Paledang 285 A Rt. 04/02,konveksi,8,1993
208,,,Jl. Paledang  RT.04/02,konveksi,4,2005
209,Avis Garment,,Jl. Paledang  RT.04/02,konveksi,5,2005
210,Anugrah Jaya,,Jl. Paledang 380 RT.06/02,konveksi,4,2009
211,,,Bbk Cibeureum RT.03/01,konveksi,6,2000
212,,,Bbk. Cibeureum RT.02/01,konveksi,15,1997
213,,,Bbk. Cibeureum RT.03/01,konveksi,3,2000
214,,,Bbk. Cibeureum RT.03/01,konveksi,4,2000
215,,,Asrama kipal RT.05/04,konveksi kerudung,12,2007
216,,,Babakan Cianjur RT.05/07,percetakan,sablon,2,2008
217,Manna Konvection,,Asrama kipal RT.05/04,konveksi,4,2008
218,,,Jl. Paledang  RT.04/02,Bordir,4,2008
219,,,Jl. Paledang  RT.05/02,Bordir,10,2007
220,Enggal Jaya,,Jl.Raya Cimindi RT.02/05,Perdagangan onderdil,4,2004
221,Cimahi Almunium,,Jl.Ry Cimindi 112 RT.01/05,Etalase,rak almunium,4,2004
222,CV Gerald Putra Perkasa,,Paledang 26 RT.01/02,sepatu ,3,1996
223,,,Paledang RT.01/02,sepatu ,3,2006
224,SK. Setia Karya,,Paledang 177 RT.03/02,Sikat tekstile,2,1997
225,Cv.Dinasty Adiraka,,Paledang 163 RT.03/02,Instalasi listrik,4,1990
226,Bintang Mas,,Jl. Raya Cimindi 168 Rt. 06/05,konveksi,20,2004
227,Raflesia,,Bojong Koneng no.35 Rt. 04/06,produksi tas,19,2009
228,Bima Setia,,Gg.Bp.Ohe RT.04/05,oven,12,1990
229,Bima Darma,,Jl.Raya Cimindi 98 Rt. 01/01,oven,loyang,buleng,3,1991
230,Surya,,Cimindi Utara RT.02/05,oven gas,3,2000
231,Bima Ekspres,,Cimindi Utara RT.01/05,oven,3,1991
232,Bima Setia,,Cimindi Utara RT.01/05,oven,5,1995
233,Bima Indah,,Cimindi Utara RT.01/05,oven,asbak,4,1997
234,,,Cimindi Utara RT.01/05,oven,asbak,plat no,1,2013
235,Bima Satria,,Bojong Koneng RT.04/06,Oven,3,1979
236,Columbus,,Babakan Cianjur RT.02/07,oven,citel,katel,3,2000
237,,,Asrama Kipal RT.05/04,oven dan buleng,2,1991
238,Galunggung,,Bbk.Cianjur 60 RT.05/07,krupuk,7,1991
239,Tempe Soy,,Bbk.  Cianjur  RT.06/07,tempe,mendoan,6,1990
240,Excellent World,,Jl.Paledang 297B Rt. 05/02,Handle pintu,3,2011
241,Class Product,,RT.05/02,,,
242,,,Babakan Hegar RT.03/03,Mur sangkar burung,7,2012
243,,,Bbk. Cibeureum RT.06/01,Pindang ikan,4,1990
244,,,Bbk. Cibeureum RT.03/01,Rangginang,2,2000
245,An'nisa,,Bbk. Cianjur 81 RT.01/07,Roti,kue,5,2006
246,NS,,Paledang RT.04/02,Telur asin,3,1985
247,,,Babakan Cianjur RT.03/07,Krupuk kulit sapi,3,2003
248,Karya Asih,,Babakan Cianjur RT.06/07,Pindang Presto,2,2012
249,Imel/Inka,,Babakan Cianjur RT.03/07,Roti kacang/bapia,4,2002
250,,,Jl.Raya Cibeureum Rt. 01/05,Kue basah,roti,5,2008
251,,,Sapta Marga RT.02/04,Kue basah,2,2000
252,Toez Gallery,,Jl.Katalina I RT.01/03,Asesoris dari bahan aqrilik,15,2012
253,Depot Isi Ulang Ulfa,,Gg.Bp.Ohe 146 RT.05/05,Air Isi ulang dan jualan gas,3,2012
254,Depot isi ulang,,Bbk.Cianjur RT.02/07,Air Isi ulang ,2,2007
255,,,Bbk.Cianjur RT.05/02,pangkalan gas,2,2007
256,PT.BABUN DJAYA ASIA,DUNGUSCARIANG,JL.NURTANIO 63, USAHA PERDAGANGAN,10 ORANG,2000
257,PT. GRITITH ANUGRAH,,JL.NURTANIO 63,PENGOLAHAN AYAM DAN MAKANAN, 4 ORANG,
258,LAKBAN,,JL.NURTANIO ,LAKBAN,10 ORANG,
259,MULTI BERKAH PANGAN,,JL.NURTANIO  41,DISTRIBUTOR SAOS DAN KACANG,8 ORANG,
260,PT.DAM KARYA CAFE PRIMA,,JL.GARUDA NO.39 RT07/RW03,CAFE,5 ORANG,2014
261,PT.SURGA ENERGI NUSANTARA,,JL.NURTANIO NO.51 RT09/02,PERDAGANGAN UMUM ,8 ORANG,2013
262,AA PLASTIK,,JL.NURTANIO,,100 ORANG,
263,PT.KIKKODIDAT INDONESIA,,JL.GARUDA NO.15,PERDAGANGAN DAN JASA,10 ORANG,
264,DEPO SEGAR,,JL.RAJAWALI TIMUR 320 A,PERDAGANGAN,6 ORANG,
265,CV.BUANA PRATAYASA PROSPERINDO,,JL.RAJAWALI TIMUR 121,PERDAGANGAN UMUM DAN TEKSTIL,7 ORANG,2010
266,PT BENTOEL,,JL.RAJAWALI TIMUR 170,DISTRIBUTOR UTAMA,5 ORANG,2012
267,CV.AUTOGRAID,,JL.RAJAWALI TIMUR 168,PERDAGANGAN DAN JASA,20 ORANG,
268,SUMAJAYA GAS,,JL.RAJAWALI TIMUR 187 RT09/07,AGEN GAS,2 ORANG,
"269,PT.RAJAWALI SAKTI MEDIKA MANDIRI,,J;.RAJAWALI SAKTI PERMAI RT08/01,PERDAGANGAN DAN JASA,20 ORANG,"
270,PT. GITA PERSADA,,JL.RAJAWALI SAKTI NO.35,PERCETAKAN,8 ORANG,2011
271,PD TALI SANDANG,,JL.CIROYOM  RT 05/11,TALI SEPATU,,
272,PATA METAL,,JL.CIROYOM  RT 05/11,PLAT, STENLES,,
273,PB.ABADI,,JL.CIROYOM 117,MATERIAL,4 ORANG,
274,PT.INTI SAKKA MANDIRI,,JL.CIROYOM GG.IKHLAS 32/77,PERDAGANGAN DAN JASA,4 ORANG,2002
275,CV RIZKI PUTRA,,JL.ANDIR 121/77 RT01/10,PERDAGANGAN DAN JASA,2 ORANG,2013
276,SAMANAN SUMAJAYA,,JL.SUDIRMAN 600,RAJUT,7 ORANG,
277,CV SUBER ABADI SENTOSA,,JL.SUDIRMAN564,GROSIR ROKOK,3 ORANG,2014
278,PT.MESAT INDO GLOBAL,,JL.JEND SUDIRMAN 624,PERDAGANGAN BARANG JASA,3 oRANG,2014
279,CV.INPIRA VENTURA,,JL.JEND SUDIRMAN 520,JUAL BELI  PAKAIAN JADI,3 ORANG,
280,PT MULTI DAYA TEKNOLOGI NUSANTARA,,JL.JEND SUDIRMAN NO.594,JASA PERDAGANGAN UMUM TEKNOLOGI,5 ORANG,
281,PT.TUNGGAL KAHURIPAN,,JL.JEND SUDIRMAN NO.570,INDUSTRI MAKANAN,100 ORANG,1962
282,CV,STH SEVICE,,JL.SUDIRMAN 546 RT01/08,PELAYANAN/JASA PENGELOLAAN STH,16 ORANG,2010
283,CD.TAMBAN DANU CIPTA MANDIRI,,JL.HALTEU UTARA 37 RT07/02,PERDAGANGAN DAN JASA,51 ORANG,2013
284,CV.DANU MAS APPARET,,JL.HALTEU SELATAN 14/76,PERDAGANGAN UMUN DAN TEKSTIL,10 ORANG,2010
285,CV.UNI ENGINERING,,JL,HALTEU SELATAN I NO.59,PERDAGANGAN BARANG JASA,2 ORANG,2014
286,PT.MULTI KARYA RAJAWALI,,JL. HALTEU SELATAN I NO.59,PERDAGANGAN DAN JASA,3 ORANG,2014
287,PD.DUNIA BINTANG,,JL. HALTEU SELATAN I NO.66,PERDAGANGAN ELEKTRONIK.ALAT RUMAH TANGGA DAN LISTRIK,3 ORANG,
288,CV.SANTOSA,,JL.ANDIR GG KBN SAWO RT01/10,GUDANG BAN,25 ORANG,
289,SANTO PLASTIK,,JL.CIROYOM  RT02/10,PLASTIK,75 ORANG,
290,PT.LOGAM FATA JAYA,,JL.CIROYOM 125/77,BENGKEL POTONG/TEKUNG PLAT,45 ORANG,
291,CV.SINAR DINAMIKA NIAGATAMA,,JL.HALTEU UTARA NO 19,PERDAGANGAN UMUM,3 ORANG,
292,CV.SINAR  RAJAWALI,,JL.RAJAWALI SAKTI NO.1 RT08/01,PERDAGANGAN,JASA.PENDISTRIBUSIAN,5 ORANG,
293,FAJAR UTAMA ELEKTRONIK,,JL.HALTEU UTARA O3/01,BENGKEL ELEKTRONIK,1 ORANG,
294,PT.JUJUR PARAMARTA,,JL.JEND.SUDIRMAN 560,PENYALURAN BAHAN BAKAR,5 ORANG,
295,DEPO SEGAR,,JL.RAJAWALI TIMUR 320 A,PERDAGANGAN,6 ORANG,
296,CV.BUANA PRATAYASA PROSPERINDO,,JL.RAJAWALI TIMUR 121,PERDAGANGAN UMUM DAN TEKSTIL,7 ORANG,2010
297,CV.AUTOGRAID,,JL.RAJAWALI TIMUR 168,PERDAGANGAN DAN JASA,20 ORANG,
298,SUMAJAYA GAS,,JL.RAJAWALI TIMUR 187 RT09/07,AGEN GAS,2 ORANG,
299,PD TALI SANDANG,,JL.CIROYOM  RT 05/11,TALI SEPATU,,
300,PB.ABADI,,JL.CIROYOM 117,MATERIAL,4 ORANG,
301,CV RIZKI PUTRA,,JL.ANDIR 121/77 RT01/10,PERDAGANGAN DAN JASA,2 ORANG,2013
302,SAMANAN SUMAJAYA,,JL.SUDIRMAN 600,RAJUT,7 ORANG,
303,CV SUBER ABADI SENTOSA,,JL.SUDIRMAN564,GROSIR ROKOK,3 ORANG,2014
304,CV.INPIRA VENTURA,,JL.JEND SUDIRMAN 520,JUAL BELI  PAKAIAN JADI,3 ORANG,
305,CV,STH SEVICE,,JL.SUDIRMAN 546 RT01/08,PELAYANAN/JASA PENGELOLAAN STH,16 ORANG,2010
306,CD.TAMBAN DANU CIPTA MANDIRI,,JL.HALTEU UTARA 37 RT07/02,PERDAGANGAN DAN JASA,51 ORANG,2013
307,CV.DANU MAS APPARET,,JL.HALTEU SELATAN 14/76,PERDAGANGAN UMUN DAN TEKSTIL,10 ORANG,2010
308,CV.UNI ENGINERING,,JL,HALTEU SELATAN I NO.59,PERDAGANGAN BARANG JASA,2 ORANG,2014
309,PD.DUNIA BINTANG,,JL. HALTEU SELATAN I NO.66,PERDAGANGAN ELEKTRONIK.ALAT RUMAH TANGGA DAN LISTRIK,3 ORANG,
310,CV.SANTOSA,,JL.ANDIR GG KBN SAWO RT01/10,GUDANG BAN,25 ORANG,
311,CV.SINAR DINAMIKA NIAGATAMA,,JL.HALTEU UTARA NO 19,PERDAGANGAN UMUM,3 ORANG,
312,CV.SINAR  RAJAWALI,,JL.RAJAWALI SAKTI NO.1 RT08/01,PERDAGANGAN,JASA.PENDISTRIBUSIAN,5 ORANG,
313,FAJAR UTAMA ELEKTRONIK,,JL.HALTEU UTARA O3/01,BENGKEL ELEKTRONIK,1 ORANG,
314,,,JL.HALTEU UTARA RT/03/RW.01,TAS SEKOLAH,,2005
315,,,JL.HALTEU UTARS RT05/RW01,JAS HUJAN,,1998
316,,,JL.HALTEU UTARA RT.05/RW01,PEMBUATAN JAS HUJAN,2 ORANG,1994
317,,,JL.HALTEU UTARA RT.05/RW.01,INSTRUMEN ELEKTRIK,3 ORANG,2008
318,,,JL.HALTEU UTARA RT.05/RW.01,PEMBUATAN FILTER,30 ORANG,1994
319,,,JL.HALTEU UTARA RT.05/RW.01,ES KRIM,5 ORANG,1990
320,,,JL.HALTEU UTARA RT.04/RW.01,KONVEKSI JEAN,5 ORANG,1990
321,,,JL.HALTEU UTARA RT.04/RW02,KUE BASAH,,2000
322,,,JL.HALTEU UTARA RT.07/RW.01,JAMU,,1984
323,,,JL.HALTEU UTARA RT.10/RW.02,JAKET,5 ORANG,1998
324,,,JL.HALTEU UTARA RT.06/RW02,TALIKUR,,1997
325,,,JL.HALTEU UTARA RT02/RW02,KREASI BATIK,2 O RANG,2012
326,,,JL.HALTEU UTARA RT.11/RW.02,KUE BASAH,,2000
327,,,JL.HALTEU UTARA RT.07/RW.02,KUE BASAH,,2000
328,,,JL.HALTEU UTARA RT.03/RW.02,KONVEKSI,3 ORANG,1996
329,,,JL.HALTEU UTARA RT.03/02,JAKET,3 ORANG,1990
330,,,JL.HALTEU UTARA RT,07/RW02,KRIPIK SINGKONG,2 ORANG,1995
331,,,JL.HALTEU UTARA RT01/RW.02,BASO SAPI,,1990
332,,,JL.HALTEU UTARA RT07/RW02,BASO SAPI,,1995
333,,,JL.HALTEU UTARA RT04/RW.02.,BASO SAPI, ,1990
334,,,JL.HALTEU UTARA RT06/RW02,BENGKEL SEPEDA UNIK,BENGKEL SEPEDA UNIK,2000
335,,,JL.HALTEU UTARA RT.02/RW02,PEMBUATAN TEMPE,,1984
336,PN. 43,,JL.DUNGUSCARIANG RT.06/RW.04,SANDAL,2 ORANG,1990
337,,,JL.DUNGUSCARIANG RT.06/RE04,BATAGOR,,1995
338,,,JL.DUNGUSCARIANG RT.06/RW04,JAKET,10 ORANG,2000
339,,,JL.DUNGUSCARIANG RT.04/RW.04,JOK MOTOR,2 ORANG,2004
340,,,JL.DUNGUSCARIANG RT03/RW.05,JAMU,,1994
341,,,JL.DUNGUSCARIANG RT01/RW.05,BASO SAPI,,1995
342,,,JL.DUNGUSCARIANG RT.04/RW05,JAKET,3 ORANG,1996
343,PASUTRI,,JL.DUNGUSCARIANG RT.10/RW.04,KRIPIK SINGKONG,,2010
344,,,JL.DUNGUSCARIANG RT.01/RW05,BASO SAPI/IKAN,,2000
345,,,JL.DUNGUSCARIANG RT.03/RW.05,BATAGOR,,1999
346,,,JL.DUNGUSCARIANG RT.07/RW.05,PERCETAKAN,,2001
347,,,JL.DUNGUSCARIANG RT.03/RW05,BAWANG GORENG,,1990
348,AREMA,,RA.BARNAS RT.04/RW.06,BASO SAPI,5 ORANG,1995
349,,,RA.BARNAS RT.02/RW.06,KONVEKSI  KAOS,,1996
350,,,RA.BARNAS RT.05/RW.06,KAOS,,2000
351,,,RA.BARNAS RT.04/RW.06,BATAGOR,,2000
352,,,RA.BARNAS RT.04/RW.06,MPEK-MPEK,,2001
353,,,RA.BARNAS RT.04/RW.06,RANGINANG,,2002
354,,,RA.BARNAS RT.02/RW.06,PINDANG,,2004
355,,,JL.DUNGUSCARIANG RT.07/RW.07,KONVEKSI,3 ORANG,2002
356,,,JL.DUNGUSCARIANG RT.05/RW.07,ASSESORIS RUMAH TANGGA,3 ORANG,1995
357,,,JL.DUNGUSCARIANG RT.02/RW.07,GESPER,10 ORANG,1992
358,,,JL.DUNGUSCARIANG RT.02/RW.07,ASSESORIS PLASTIK,1 ORANG,1999
359,,,JL.DUNGUSCARIANG RT.02/RW.07,ASSESORIS PLASTIK,10 ORANG,1990
360,,,JL.DUNGUSCARIANG RT.05/RW.07,ASSESORIS BAJU,,2014
361,,,RI.WINATA RT.03/RW.08,ROTI,,
362,,,RI.WINATTA RT04/RW08,KUE BASAH,,2000
363,,,RI.WINATTA RT04/RW08,KUE BASAH,,2000
364,,,RI.WINATA RT.03/RW.08,ROTI,20 ORANG,
365,,,RI.WINATA RT.07/RW.08,ROTI, ,2000
366,,,RAJAWALI TIMUR RT03/RW09,TAS,3 ORANG,2001
367,,,JL.KEBON SAWO RT03/RW.10,TAS,1 ORANG,1990
368,,,JL.KEBON SAWO RT03/RW.10,TAS,2 ORANG,1995
369,,,JL.KEBON SAWO RT03/RW.10,TAS,E ORANG,2000
370,,,JL.KEBON SAWO RT03/RW.10,TAS,2 ORANG,1994
371,,,JL.KEBON SAWO,BAKSO,2 ORANG,1990
372,,,JL.KEBON SAWO RT.05/RW10,BASO SAPI,,2001
373,,,JL.KEBON SAWO RT.03/RW.10,BATADOR,,2004
374,,,JL.KEBON SAWO RT.03/RW.10,PINDANG,,1986
375,,,JL.KEBON SAWO RT.03/RW.10,PINDANG,,1998
376,,,JL.KEBON SAWO RT.03/RW.10,TAS,,2000
377,,,JL.KEBON SAWO RT.03/RW.10,MPEK-MPEK,,1990
378,,,JL.KEBON SAWO RT03/RW.10,TAS,2 ORANG,1990
379,,,JL.HALTEU UTARA RT.06/RW.11,BASO TAHU,,2000
380,,,JL.CIROYOM RT08/11,KONVEKSI KAOS,3 ORANG,1998
381,,,JL.CIROYOM RT03/11,SURABI,,2000
382,,,JL.CIROYOM RT03/11,BASO,,2003
383,,,JL.CIROYOM RT03/11,BASO,,2001
384,,,JL.CIROYOM RT03/11,TAHU GEJROT,,2004
385,,,JL.CIROYOM RT03/11,DONAT,,2005
386,,,JL.CIROYOM RT02/11,BASO TAHU,,1996
387,,,JL.CIROYOM RT01/11,SISTIK,,2004
388,,,JL.CIROYOM RT07/11,BOLU,,2006
389,,,JL.CIROYOM RT08/11,PISANG HIJO,,2009
390,,,JL.HALTEU UTARA RT02/RW01,SEMBAKO,,2000
391,,,JL.HALTEU UTARA RT044/RW01,SEMBAKO,,1998
392,,,JL.HALTEU UTARA RT03/RW01,SEMBAKO,,1995
393,,,JL.HALTEU UTARA RT04/RW01,SEMBAKO,,2000
394,,,JL.HALTEU UTARA RT04/RW01,SEMBAKO,,1998
395,,,JL.HALTEU UTARA RT06/RW01,SEMBAKO,,1997
396,,,JL.HALTEU UTARA RT06/RW01,SEMBAKO,,1999
397,,,JL.HALTEU UTARA RT07/RW01,SEMBAKO,,2000
398,,,JL.HALTEU UTARA RT08/RW01,SEMBAKO,,1998
399,,,JL.HALTEU UTARA RT03/RW01,SEMBAKO,,2000
400,,,JL.HALTEU UTARA RT03/RW01,SEMBAKO,,2001
401,BASO TEGA LEGA,,JL.CIROYOM RT01/RW.02,WARUNG BASO,,2002
402,TOKO NANI,,JL.CIROYOM RT01/RW.02,TOKO KUE,,200
403,TOKO PUTRA JAYA,,JL.CIROYOM RT01/RW.02,SEMBAKO,,2004
404,TOKO NANJUNG,,JL.CIROYOM RT01/RW.02,SEMBAKO,,2000
405,TOKO LAKSANA JAYA,,JL.CIROYOM RT01/RW.02,TOKO  BESI,,2000
406,TOKO NOVA,,JL.HALTEU UTARA RT03/RW01,SEMBAKO,,2000
407,,,JL.HALTEU UTARA RT06/RW01,SEMBAKO,,2001
408,,,JL.HALTEU SELATAN RT.01/03,SEMBAKO,,1983
409,,,JL.HALTEU SELATAN RT.01/03,SEMBAKO,,2013
410,,,JL.HALTEU SELATAN RT.02/03,SEMBAKO,,2013
411,,,JL.HALTEU SELATAN RT.03/03,SEMBAKO,,1995
412,,,JL.HALTEU SELATAN RT.04/03,SEMBAKO,,2000
413,,,JL.HALTEU SELATAN RT.04/03,SEMBAKO,,2012
414,TOKO BESI HS,,JL.HALTEU SELATAN RT.05/03,TOKO BESI,,1990
415,,,JL.HALTEU SELATAN RT.05/03,SEMBAKO,,1994
416,TOKO SEPATU BAIM,,JL.HALTEU SELATAN RT.05/03,TOKO SEPATU,2 ORANG,1998
417,,,JL.DUNGUSCARIANG RT.06/04,SEMBAKO,1.0RANG,2000
418,,,JL.DUNGUSCARIANG RT.06/04,SEMBAKO,,1994
419,,,JL.DUNGUSCARIANG RT.06/04,SEMBAKO,,2000
420,,,JL.DUNGUSCARIANG RT.04/05,SEMBAKO,,2001
421,,,JL.DUNGUSCARIANG RT.04/05,SEMBAKO,,1983
422,,,JL.DUNGUSCARIANG RT.07/05,SEMBAKO,,2013
423,,,JL.DUNGUSCARIANG RT.07/05,SEMBAKO,,2013
424,,,JL.DUNGUSCARIANG RT.08/05,SEMBAKO,,1992
425,,,JL.DUNGUSCARIANG RT.06/05,SEMBAKO,,1990
426,,,JL.DUNGUSCARIANG RT.06/05,SEMBAKO,,1980
427,,,JL.DUNGUSCARIANG RT.05/05,SEMBAKO,,2000
428,,,JL.DUNGUSCARIANG RT.05/05,SEMBAKO,,1995
429,,,JL.DUNGUSCARIANG RT.03/05,SEMBAKO,,1998
430,,,JL.DUNGUSCARIANG RT.03/05,SEMBAKO,,1992
431,,,JL.DUNGUSCARIANG RT.03/05,SEMBAKO,,1990
432,,,GG.BARNAS RT06/RW.06,ISI ULANG AIR,,2000
433,TOKO BESI,,GG.BARNAS RT06/RW.06,TOKO BESI,1 ORANG,2010
434,,,GG.BARNAS RT03/RW.06,SEMBAKO,,1996
435,,,GG.BARNAS RT03/RW.06,TOKO BHN MATERIAL,4 ORANG,1995
436,,,GG.BARNAS RT02/RW.06,SEPATU,,2000
437,,,GG.BARNAS RT03/RW.06,SEMBAKO,,2012
438,,,GG.BARNAS RT05/RW.06,SEMBAKO,,1997
439,,,GG.BARNAS RT04/RW.06,SEMBAKO,,2000
440,,,JL.DUNGUSCARIANG RT01/RW07,SEMBAKO,,1997
441,,,JL.DUNGUSCARIANG RT01/RW07,OBAT-OBAYAN,,2000
442,,,JL.DUNGUSCARIANG RT03/RW07,SEMBAKO,,2011
443,,,JL.DUNGUSCARIANG RT03/RW07,SEMBAKO,,1995
444,,,JL.DUNGUSCARIANG RT04/RW07,SEMBAKO,,2000
445,,,JL.DUNGUSCARIANG RT01/RW07,SEMBAKO,,2012
446,,,JL.DUNGUSCARIANG RT04/RW07,COUNTER PULSA,,1990
447,,,JL.DUNGUSCARIANG RT05/RW07,KELONTONGAN,,2000
448,,,JL.DUNGUSCARIANG RT05/RW07,KELONTONGAN,,2010
449,,,JL.DUNGUSCARIANG RT05/RW07,KELONTONGAN,,1996
450,,,JL.DUNGUSCARIANG RT05/RW07,KELONTONGAN,,1995
451,,,JL.DUNGUSCARIANG RT06/RW07,TOKO ALAT LISTRIK,,1995
452,,,JL.DUNGUSCARIANG RT06/RW07,KELONTONGAN,,2000
453,,,JL.DUNGUSCARIANG RT06/RW07,GAS ELPIJI,,2012
454,,,JL.DUNGUSCARIANG RT09/RW07,KELONTONGAN,,1990
455,,,JL.DUNGUSCARIANG RT09/RW07,KELONTONGAN,,2000
456,,,JL.DUNGUSCARIANG RT09/RW07,KELONTONGAN,,2010
457,,,JL.DUNGUSCARIANG RT09/RW07,KELONTONGAN,,1995
458,,,JL.ANDIR NO.5 RT.02/08,SEMBAKO,,2000
459,,,JL.ANDIR NO.5 RT.08/08,SEMBAKO,,2012
460,,,JL.ANDIR NO.5 RT.04/08,SEMBAKO,,1990
461,,,JL.ANDIR NO.5 RT.04/08,SEMBAKO,,2000
462,,,JL.ANDIR NO.5 RT.08/08,SEMBAKO,,2010
463,,,JL.ANDIR NO.5 RT.07/08,KELONTONGAN,,1998
464,,,JL.ANDIR NO.5 RT.07/08,KELONTONGAN,,1995
465,,,JL.ANDIR NO.5 RT.06/08,KELONTONGAN,,2000
466,,,JL.ANDIR NO.5 RT.076/08,KELONTONGAN,,2012
467,,,JL.ANDIR NO.5 RT.073/08,KELONTONGAN,,2001
468,,,JL.ANDIR NO.5 RT.03/08,KELONTONGAN,,1990
469,,,JL.ANDIR NO.5 RT.03/08,KELONTONGAN,,2000
470,,,JL.ANDIR NO.5 RT.07/08,KELONTONGAN,,2010
471,,,JL.RAJAWALI TIMUR  RT.02/RW09,SEMBAKO,,2010
472,,,JL.RAJAWALI TIMUR  RT.02/RW09,SEMBAKO,,2012
473,,,JL.RAJAWALI TIMUR  RT.02/RW09,SEMBAKO,,1998
474,,,JL.RAJAWALI TIMUR  RT03/RW09,SEMBAKO,,2000
475,,,JL.RAJAWALI TIMUR RT.03/RW09,SEMBAKO,,2013
476,,,JL.RAJAWALI TIMUR RT.03/RW09,SEMBAKO,,1983
477,,,JL.RAJAWALI TIMUR RT.03/RW09,SNACK,,2013
478,,,JL.RAJAWALI TIMUR  RT.02/RW09,SEMBAKO,,2013
479,,,JL. ANDIR RT02/RW10,SEMBAKO,,1992
480,SINAR BAHAGIA,,JL. ANDIR RT01/RW10,SEMBAKO,1.0RANG,1990
481,,,JL. ANDIR RT05/RW10,TOKO BESI & BANGUNAN,,1980
482,,,JL. ANDIR RT02/RW10,SEMBAKO,,2000
